id,repo_name,filename,line_number,column_number,issue_text,code,severity,confidence,cwe,found_by_count,all_sources,source,tool_issue_id,tool_test_name,combined_tool_ids,is_duplicate
44,Udala_docforever,Udala_docforever/pycoin/tx/script/microcode.py,424,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"423     """"""
424     stack.append(hashlib.sha1(stack.pop()).digest())
425",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
45,Whompithian_css527-project3,Whompithian_css527-project3/algo.py,199,0,Use of insecure cipher cryptography.hazmat.primitives.ciphers.algorithms.ARC4. Replace with a known secure cipher such as AES.,"198     algo_run = ['ARC4']
199     cipher = Cipher(algorithms.ARC4(key), mode=None, backend=backend)
200     encryptor = cipher.encryptor()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B304,blacklist,bandit:B304|semgrep:python.cryptography.security.insecure-cipher-algorithms-arc4.insecure-cipher-algorithm-arc4|dlint:DUO134,True
46,YO-Uganda_YoPaymentsPython,YO-Uganda_YoPaymentsPython/yopayments.py,454,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"453             message=data.encode('UTF-8')
454             signature=crypto.sign(private_key,hashlib.sha1(message).hexdigest(),'sha1WithRSAEncryption')
455             """"""",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
47,achow101_payment-proto-interface,achow101_payment-proto-interface/paymentrequest.py,279,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","278             try:
279                 r = requests.post(payurl.geturl(), data=pm, headers=ACK_HEADERS, verify=False)
280             except Exception as e:",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
48,achow101_payment-proto-interface,achow101_payment-proto-interface/rsakey.py,44,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"43 def SHA1(x):
44     return hashlib.sha1(x).digest()
45",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
49,achow101_payment-proto-interface,achow101_payment-proto-interface/x509.py,310,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"309     def getFingerprint(self):
310         return hashlib.sha1(self.bytes).digest()
311",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
50,agiliq_merchant,agiliq_merchant/billing/gateways/global_iris_gateway.py,117,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"116         val1 = signing_string.format(**d)
117         hash1 = sha1(val1).hexdigest()
118         val2 = ""{0}.{1}"".format(hash1, config.shared_secret)",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130|dlint:DUO130,True
75,bakaat_realex,bakaat_realex/base.py,89,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"88         # hash fields
89         self.sha1hash = hashlib.sha1(""."".join([self.fields['timestamp'],
90                                                self.Meta.merchant_id,
91                                                self.fields['order_id'],
92                                                self.fields['timestamp'],
93                                                self.fields['currency']]))
94         # sign fields hash with secret and create new hash",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
76,bakaat_realex,bakaat_realex/base.py,95,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"94         # sign fields hash with secret and create new hash
95         self.fields['sha1hash'] = hashlib.sha1(""."".join([
96             self.sha1hash.hexdigest(), self.Meta.secret])).hexdigest()
97         self.fields['auto_settle_flag'] = 1",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
77,bakaat_realex,bakaat_realex/base.py,156,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"155 
156         sha1hash = hashlib.sha1(""."".join([self.data[x]
157                                           for x in required_in_post]))
158         sha1hash = hashlib.sha1(""%s.%s"" % (sha1hash.hexdigest(),",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130|dlint:DUO130,True
78,bandoche_PyPinkSign,bandoche_PyPinkSign/pypinksign/pypinksign.py,388,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"387         k = dk[:16]
388         div = hashlib.sha1(dk[16:20]).digest()
389         iv = div[:16]",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
79,bandoche_PyPinkSign,bandoche_PyPinkSign/pypinksign/pypinksign.py,587,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"586     # password, salt = checkTypes(password, salt, c, dkLen)
587     dk_max_len = hashlib.sha1().digest_size
588",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
80,bandoche_PyPinkSign,bandoche_PyPinkSign/pypinksign/pypinksign.py,594,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"593 
594     t = sha1(password + salt).digest()
595     for _ in range(2, c + 1):",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130|dlint:DUO130,True
81,bandoche_PyPinkSign,bandoche_PyPinkSign/pypinksign/pypinksign.py,661,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"660     k = dk[:16]
661     div = hashlib.sha1(dk[16:20]).digest()
662     iv = div[:16]",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
82,bcurtu_django-sermepa,bcurtu_django-sermepa/django-sermepa/sermepa/models.py,64,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"63                                 SECRET_KEY,)
64         sha1 = hashlib.sha1(key.encode('utf-8'))
65         return sha1.hexdigest().upper() == self.Ds_Signature",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
83,boppreh_simplecrypto,boppreh_simplecrypto/simplecrypto/hashes.py,19,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"18     """"""
19     return hashlib.sha1(to_bytes(message)).hexdigest()
20",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
84,chrisglass_django-shop-postfinance,chrisglass_django-shop-postfinance/shop_postfinance/utils.py,35,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"34     #hash_string =  ""AMOUNT=%s%sCURRENCY=%s%sLANGUAGE=%s%sORDERID=%s%sPSPID=%s%s"" #% (amount, key, currency, key, language, key, order_id, key, pspid, key)
35     s = hashlib.sha1()
36     s.update(hash_string)",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
85,chrisglass_django-shop-postfinance,chrisglass_django-shop-postfinance/shop_postfinance/utils.py,49,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"48         hash_string += ""%s=%s%s"" % (key, value, secret_key)
49     output = hashlib.sha1(hash_string).hexdigest().upper()
50     return output",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
86,click-llc_click-integration-django,click-llc_click-integration-django/click/__init__.py,30,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"29         self.timestaps = int(time.time())
30         self.token = hashlib.sha1('{timestaps}{secret_key}'.format(
31                 timestaps = self.timestaps, secret_key = self.provider.secret_key
32             ).encode('utf-8')
33         ).hexdigest()
34",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
106,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/common/utils.py,208,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","207     # Kazakhtelecom network
208     r = requests.get(url, verify=False, headers=headers, timeout=timeout)
209     # try:",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
107,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/common/utils.py,222,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","221     # Kazakhtelecom network
222     r = requests.post(url, request, verify=False, headers=headers, timeout=timeout)
223     # try:",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
108,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/common/utils.py,253,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","252         # Kazakhtelecom network
253         with requests.get(url, verify=False, timeout=timeout,
254                           headers=headers) as r:
255             r.raise_for_status()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
109,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/common/utils.py,390,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","389         # Kazakhtelecom network
390         with requests.get(url, stream=True, verify=False) as r:
391             r.raise_for_status()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
110,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/kgd/api.py,95,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","94 
95         r = requests.post(url, request, headers=self.headers, verify=False, timeout=self._timeout)
96",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
111,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/sgov/api.py,88,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","87         try:
88             r = requests.get(self.rcuts_url, verify=False)
89             if r.status_code != 0:",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
112,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/sgov/api.py,111,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","110         # return order number
111         r = requests.post(self.request_url, headers=headers, data=request, verify=False)
112",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
113,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/sgov/api.py,126,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","125         url = self.result_url_tmpl.format(self.host, order_no)
126         r = requests.get(url, headers=headers, verify=False)
127         response = r.json()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
114,esistgut_django-payments-bnlepos,esistgut_django-payments-bnlepos/payments_bnlepos/__init__.py,32,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"31         hash_string = encode(hash_string, 'hex')
32         hash_hex = hashlib.sha1(hash_string).hexdigest()
33         data = {",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
140,gnrfan_EZCrypto,gnrfan_EZCrypto/ezcrypto/pki/rsa.py,71,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"70     def get_hash(self, data):
71         return str(hashlib.sha1(data).hexdigest())
72",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
141,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,981,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"980         dlprint(""FIRMA {0}"".format(signature))
981         return hashlib.sha1(signature).hexdigest()
982",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
142,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,1010,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"1009         dlprint(""FIRMA {0}"".format(signature))
1010         return hashlib.sha1(signature).hexdigest()
1011",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
143,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,3496,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"3495 
3496         firma1 = hashlib.sha1(signature1).hexdigest()
3497         dlprint(u""FIRMA1 datos: {0}"".format(signature1))",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
144,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,3501,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"3500         signature2 = u""{firma1}.{secret}"".format(firma1=firma1, secret=self.encryption_key)
3501         firma2 = hashlib.sha1(signature2).hexdigest()
3502         dlprint(u""FIRMA2 datos: {0}"".format(signature2))",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
145,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,3520,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"3519 
3520         firma1 = hashlib.sha1(signature1).hexdigest()
3521         dlprint(u""FIRMA1 datos: {0}"".format(signature1))",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
146,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,3525,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"3524         signature2 = u""{firma1}.{secret}"".format(firma1=firma1, secret=self.encryption_key)
3525         firma2 = hashlib.sha1(signature2).hexdigest()
3526         dlprint(u""FIRMA2 datos: {0}"".format(signature2))",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
147,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,3560,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"3559 
3560         firma1 = hashlib.sha1(signature1.encode(""utf-8"")).hexdigest()
3561         dlprint(u""FIRMA1 datos: {0}"".format(signature1))",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
148,intelligenia_django-virtual-pos,intelligenia_django-virtual-pos/djangovirtualpos/models.py,3565,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"3564         signature2 = ""{firma1}.{secret}"".format(firma1=firma1, secret=self.encryption_key)
3565         firma2 = hashlib.sha1(signature2).hexdigest()
3566         dlprint(u""FIRMA2 datos: {0}"".format(signature2))",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
149,intk_bda.plone.molliepayment,intk_bda.plone.molliepayment/src/bda/plone/molliepayment/mollie_payment/easyideal.py,42,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"41         """"""
42         return hashlib.sha1(self._get_subject(tokens)).hexdigest()
43",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
158,jeffnyalik_Payments,jeffnyalik_Payments/Mpesa/accessToken.py,14,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","13     except:
14         r = requests.get(api_URL, auth=HTTPBasicAuth(consumer_key, consumer_secret), verify=False)
15",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
173,jrief_django-shop-viveum,jrief_django-shop-viveum/viveum/offsite_backend.py,116,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"115         values = [('%s=%s%s' % (key.upper(), form_dict.get(key), passphrase)).encode('utf8') for key in sha_parameters]
116         return hashlib.sha1(''.join(values)).hexdigest().upper()
117",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
174,jsmits_django-payment-ideal,jsmits_django-payment-ideal/ideal/security.py,54,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"53     fingerprint = base64.b64decode(cert_data)
54     sha = hashlib.sha1() # this must be hashlib's sha1, because the fingerprint needs to be hex digested
55     sha.update(fingerprint)",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
175,knovichikhin_pyemv,knovichikhin_pyemv/pyemv/kd.py,168,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"167     # Hash PAN || PAN sequence
168     digest = _hashlib.sha1(pan_psn).hexdigest()
169",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
190,lyra_plugin-odoo,lyra_plugin-odoo/payment_lyra/models/payment_provider.py,171,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"170         if self.lyra_sign_algo == 'SHA-1':
171             shasign = sha1(sign.encode('utf-8')).hexdigest()
172         else:",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
191,matthiask_django-mooch,matthiask_django-mooch/mooch/postfinance.py,71,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"70 
71         postfinance[""SHASign""] = sha1(
72             (
73                 """".join(
74                     (
75                         postfinance[""orderID""],
76                         postfinance[""amount""],
77                         postfinance[""currency""],
78                         postfinance[""PSPID""],
79                         self.sha1_in,
80                     )
81                 )
82             ).encode(""utf-8"")
83         ).hexdigest()
84",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
192,matthiask_django-mooch,matthiask_django-mooch/mooch/postfinance.py,138,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"137 
138             sha1_out = sha1(sha1_source.encode(""utf-8"")).hexdigest()
139",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
